тикер;название;интервал;сильный уровень;тренд - н/н/боковик;комментарий
GAZP;ГАЗПРОМ ао;24;;внимание;
SBER;Сбербанк;12;;внимание;
ROSN;Роснефть;36;;внимание;
LKOH;ЛУКОЙЛ;360;;внимание;
NVTK;Новатэк ао;120;;внимание;
GMKN;ГМКНорНик;1200;;внимание;
PLZL;Полюс;600;;внимание;
VTBR;ВТБ ао;0.0012;;внимание;
PHOR;ФосАгро ао;600;;внимание;
NLMK;НЛМК ао;12;;внимание;
MGNT;Магнит ао;360;;внимание;
SBERP;Сбербанк-п;12;;внимание;
ALRS;АЛРОСА ао;4.8;;внимание;
SNGS;Сургнфгз;2.4;;внимание;
CHMF;СевСт-ао;60;;внимание;
CBOM;МКБ ао;0.36;;внимание;
RUAL;РУСАЛ ао;4.8;;внимание;
SNGSP;Сургнфгз-п;2.4;;внимание;
MAGN;ММК;2.4;;внимание;
MOEX;МосБиржа;6;;внимание;
AFKS;Система ао;1.2;;внимание;
PIKK;ПИК ао;60;;внимание;
SGZH;Сегежа;0.6;;внимание;
MTSS;МТС-ао;12;;внимание;
TATN;Татнфт 3ао;24;;внимание;
TATNP;Татнфт 3ап;36;;внимание;
AFLT;Аэрофлот;2.4;;внимание;
MTLR;Мечел ао;12;;внимание;
SPBE;СПБ Биржа;12;;внимание;
SMLT;Самолет ао;240;;внимание;
RASP;Распадская;24;;внимание;
IRAO;ИнтерРАОао;0.24;;внимание;
SIBN;Газпрнефть;36;;внимание;
POLY;Polymetal;36;;внимание;
SiZ2;Si-12.22;6000;;внимание;
EuZ2;Eu-12.22;6000;;внимание;
EDZ2;ED-12.22;0.36;;внимание;
GDZ2;GOLD-12.22;90;;внимание;
RIZ2;RTS-12.22;12000;;внимание;
RMZ2;RTSM-12.22;120;;внимание;
SFZ2;SPYF-12.22;24;;внимание;
BRX2;BR-11.22;6;;внимание;
NGV2;NG-10.22;0.54;;внимание;
GZZ2;GAZR-12.22;2400;;внимание;
SRZ2;SBRF-12.22;1200;;внимание;
