тикер;название;разрешён шорт
BANE;Башнефт ао;да
BANEP;Башнефт ап;да
SIBN;Газпрнефть;да
GAZP;ГАЗПРОМ ао;да
GMKN;ГМКНорНик;да
DSKY;ДетскийМир;да
IRAO;ИнтерРАОао;да
LSRG;ЛСР ао;да
LKOH;ЛУКОЙЛ;да
MVID;М.видео;да
MGNT;Магнит ао;да
MTLR;Мечел ао;да
MTLRP;Мечел ап;да
CBOM;МКБ ао;да
MAGN;ММК;да
MOEX;МосБиржа;да
MSNG;МосЭнерго;да
MTSS;МТС-ао;да
NLMK;НЛМК ао;да
NVTK;Новатэк ао;да
OGKB;ОГК-2 ао;да
PIKK;ПИК ао;да
PLZL;Полюс;да
RASP;Распадская;да
ROSN;Роснефть;да
RSTI;Россети ао;да
RTKM;Ростел -ао;да
RTKMP;Ростел -ап;да
MRKP;РСетиЦП ао;да
RUAL;РУСАЛ ао;да
HYDR;РусГидро;да
SBER;Сбербанк;да
SBERP;Сбербанк-п;да
CHMF;СевСт-ао;да
AFKS;Система ао;да
FLOT;Совкомфлот;да
SNGS;Сургнфгз;да
SNGSP;Сургнфгз-п;да
TATN;Татнфт 3ао;да
TATNP;Татнфт 3ап;да
PHOR;ФосАгро ао;да
ENRU;ЭнелРос ао;да
UPRO;Юнипро ао;да
ALRS;АЛРОСА ао;да
