CODE;SHORTNAME;CLASS;ACCOUNT
SBER;Сбербанк;TQBR;stock
GAZP;ГАЗПРОМ ао;TQBR;stock
LKOH;ЛУКОЙЛ;TQBR;stock
ROSN;Роснефть;TQBR;stock
GMKN;ГМКНорНик;TQBR;stock
NVTK;Новатэк ао;TQBR;stock
PHOR;ФосАгро ао;TQBR;stock
MAGN;ММК;TQBR;stock
SNGSP;Сургнфгз-п;TQBR;stock
MGNT;Магнит ао;TQBR;stock
BSPB;БСП ао;TQBR;stock
TATN;Татнфт 3ао;TQBR;stock
VTBR;ВТБ ао;TQBR;stock
CHMF;СевСт-ао;TQBR;stock
SBERP;Сбербанк-п;TQBR;stock
ALRS;АЛРОСА ао;TQBR;stock
YNDX;Yandex clA;TQBR;stock
IRAO;ИнтерРАОао;TQBR;stock
MTSS;МТС-ао;TQBR;stock
AKRN;Акрон;TQBR;stock
IRKT;ИРКУТ-3;TQBR;stock
PLZL;Полюс;TQBR;stock
AFKS;Система ао;TQBR;stock
SNGS;Сургнфгз;TQBR;stock
NLMK;НЛМК ао;TQBR;stock
TCSG;TCS-гдр;TQBR;stock
OZON;OZON-адр;TQBR;stock
SGZH;Сегежа;TQBR;stock
BSPB;БСП ао;TQBR;stock
RUAL;РУСАЛ ао;TQBR;stock
RASP;Распадская;TQBR;stock
POLY;Polymetal;TQBR;stock
PIKK;ПИК ао;TQBR;stock
CBOM;МКБ ао;TQBR;stock
MOEX;МосБиржа;TQBR;stock
MTLR;Мечел ао;TQBR;stock
RSTI;Россети ао;TQBR;stock
SMLT;Самолет ао;TQBR;stock
TRMK;ТМК ао;TQBR;stock
VKCO;VK-гдр;TQBR;stock
BANEP;Башнефт ап;TQBR;stock
RTKM;Ростел -ао;TQBR;stock
SIBN;Газпрнефть;TQBR;stock
TATNP;Татнфт 3ап;TQBR;stock
BELU;Белуга ао;TQBR;stock
MTLRP;Мечел ап;TQBR;stock
AGRO;AGRO-гдр;TQBR;stock
AFLT;Аэрофлот;TQBR;stock
DSKY;ДетскийМир;TQBR;stock
OGKB;ОГК-2 ао;TQBR;stock
TRNFP;Транснф ап;TQBR;stock
UPRO;Юнипро ао;TQBR;stock
ENPG;ЭН+ГРУП ао;TQBR;stock
FIVE;FIVE-гдр;TQBR;stock
HYDR;РусГидро;TQBR;stock
LSRG;ЛСР ао;TQBR;stock
FLOT;Совкомфлот;TQBR;stock
SPBE;СПБ Биржа;TQBR;stock
